clip,naive,lr,avg_reward
True,False,0.1818999999999999,-576389.5
True,False,0.1818999999999999,-588225.0
True,True,0.1717999999999999,-751429.0
True,False,0.1818999999999999,-584766.0
False,False,0.2020999999999999,-883175.5
False,False,0.2728,-795343.0
True,True,0.2829,-704567.0
True,False,0.2121999999999999,-517348.0
True,False,0.293,-612188.0
True,True,0.1818999999999999,-752051.5
False,False,0.1717999999999999,-894990.5
True,True,0.1818999999999999,-745655.5
True,False,0.2121999999999999,-536300.0
True,True,0.1818999999999999,-738780.5
True,False,0.1818999999999999,-585745.5
False,False,0.2829,-809368.0
True,False,0.2829,-613055.0
True,True,0.2121999999999999,-749092.0
True,True,0.293,-717105.0
True,False,0.1818999999999999,-541950.0
False,False,0.1818999999999999,-895956.5
False,False,0.1818999999999999,-910588.0
True,True,0.2121999999999999,-721787.5
False,False,0.1818999999999999,-911956.0
True,False,0.293,-592518.5
True,True,0.1818999999999999,-743182.5
True,True,0.2829,-705302.5
False,False,0.2121999999999999,-895825.0
True,True,0.1818999999999999,-763610.5
True,False,0.1919999999999999,-570739.0
False,False,0.293,-782297.0
True,False,0.1919999999999999,-515872.0
True,True,0.293,-694974.0
True,False,0.1919999999999999,-554504.0
False,False,0.2829,-833465.5
False,False,0.1818999999999999,-909257.0
False,False,0.2121999999999999,-850688.0
True,False,0.2222999999999999,-581697.0
True,False,0.3031,-605187.5
False,False,0.1818999999999999,-910485.0
True,True,0.1919999999999999,-723744.5
True,True,0.1919999999999999,-736550.5
True,False,0.293,-811078.5
False,False,0.293,-794344.5
True,False,0.1919999999999999,-517351.0
True,True,0.1919999999999999,-753778.0
True,False,0.2222999999999999,-583540.5
True,True,0.3031,-687592.5
False,False,0.1919999999999999,-875784.5
True,False,0.1919999999999999,-575181.5
True,True,0.293,-707022.0
True,True,0.1919999999999999,-725726.0
True,False,0.3031,-601243.5
False,False,0.1919999999999999,-893254.0
True,True,0.2222999999999999,-748469.0
False,False,0.1919999999999999,-902846.5
True,True,0.2222999999999999,-713171.0
True,False,0.2020999999999999,-580575.0
False,False,0.3031,-789675.5
True,True,0.3031,-683892.5
False,False,0.2222999999999999,-887913.0
True,False,0.2020999999999999,-515873.0
False,False,0.293,-798673.5
True,False,0.2020999999999999,-517840.0
True,True,0.1919999999999999,-711450.5
False,False,0.1919999999999999,-861767.0
False,False,0.2222999999999999,-858315.0
True,True,0.2020999999999999,-731387.0
True,False,0.3132,-606401.5
False,False,0.3031,-806898.0
True,True,0.2020999999999999,-718711.5
True,False,0.3031,-612305.5
False,False,0.1919999999999999,-900382.0
True,True,0.2020999999999999,-762384.5
